epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE,best_checkpoint
1,1.1802482057828456,0.5392838783513233,0.60861028271341,0.5884706377983093,0.5969913636357628,0.5989864110946655,0.5874217108688304,0.5991913080215454,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
2,0.986367104575038,0.5443233616758478,0.6152972739868715,0.5472787022590637,0.6009819871705772,0.5696822047233582,0.581359000695795,0.5838743348916372,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
3,0.9337445050477982,0.5372380254212592,0.6095287379564233,0.5763861536979675,0.5958273882977759,0.5930976748466492,0.57886734690045,0.6044504642486572,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
4,0.9055431282613426,0.5581269456081697,0.6317619889934415,0.5398355722427368,0.6089959313062616,0.5615770220756531,0.5950516456607149,0.5783796509106954,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
5,0.8638155907392502,0.5375775496825742,0.6070284001076468,0.5765884518623352,0.5987361043277405,0.5920686602592469,0.5801504805262092,0.6024729311466217,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
6,0.8310838452307507,0.5520465569085582,0.6208269741356284,0.5438419580459595,0.6049838780175731,0.5607606410980225,0.5935021146984281,0.5751177668571472,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
7,0.7990274163894355,0.5423998850815076,0.6218238063021547,0.5925711989402771,0.5980966987117584,0.6039936542510986,0.5822471250148692,0.6203375657399496,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
8,0.7567822997225448,0.5429472434942024,0.618628019653337,0.5690498948097229,0.5962479801266592,0.5821887135505677,0.5825470319016214,0.5971603592236837,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
9,0.722160971374251,0.5379653618564632,0.6116631343964276,0.5536500215530396,0.5899507489458127,0.5725015163421631,0.5784073215830297,0.5962088902791342,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
10,0.6884970407700166,0.5288545262249142,0.5982101937279162,0.5613135695457458,0.5831173563878085,0.5780814290046692,0.5741607255106849,0.5939330061276754,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_Q1对齐质量融合完整优化/问题2_Q1对齐质量融合完整优化_best.pt
