stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
best,none,0.0,random,0,0.6616782469267771,0.6275671412450939,0.6616469787135875,0.5458438992500305,0.7058545007545344,0.0,0.0020962958007180927,0.04504805869628242
best,T,0.3,random,0,0.6290753607696419,0.5891750495507405,0.6267658346437865,0.5922774076461792,0.6345011537442509,0.29916817198545975,0.0020962958007180927,0.04504805869628242
best,A,0.3,random,0,0.6557990379476216,0.6275097353089097,0.6594854672228988,0.5452526807785034,0.7044207943965837,0.0,0.300573136192324,0.04504805869628242
best,V,0.3,random,0,0.655264564404062,0.6233708739232516,0.6563280345125296,0.5458939075469971,0.7046462119093233,0.0,0.0020962958007180927,0.3313708436475547
best,AV,0.3,random,0,0.6557990379476216,0.6267979125236856,0.6590162334728681,0.5478162169456482,0.7043163951066809,0.0,0.300573136192324,0.3313708436475547
best,TAV,0.3,random,0,0.640833778727953,0.5955817648364294,0.6341158956505686,0.5885924100875854,0.6408342672826931,0.29916817198545975,0.300573136192324,0.3313708436475547
best,TAV,0.1,scattered,0,0.6520577231427044,0.6146512650845062,0.6489956956392646,0.5579349994659424,0.6883304985640656,0.10229477487121161,0.1041234584420508,0.142458910372204
best,TAV,0.1,scattered,1,0.6488508818813469,0.6151165751626048,0.6485525137735475,0.5646125674247742,0.6777449189322589,0.10229477487121161,0.10427956557614683,0.14252581342967374
best,TAV,0.2,scattered,0,0.6312132549438803,0.5935181634264018,0.6284087771391752,0.58127361536026,0.6596657960489676,0.20144510604134608,0.20300617738230636,0.23719363974933655
best,TAV,0.2,scattered,1,0.6365579903794762,0.5972135165275959,0.6334272826731346,0.5817506313323975,0.6535545837624499,0.20144510604134608,0.20302847840146296,0.2375058540175286
best,TAV,0.3,scattered,0,0.6322822020309995,0.5914232912382772,0.6279140481819427,0.5946568846702576,0.6361443542280094,0.29916817198545975,0.30068464128810685,0.3303895988046654
best,TAV,0.3,scattered,1,0.6258685195082844,0.5864187791060121,0.6217066581259382,0.5959015488624573,0.6304257545340055,0.29916817198545975,0.300573136192324,0.32967596619165496
