epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE,clean_Accuracy,contiguous_30pct_mean_Accuracy,scattered_TAV_mean_Accuracy,best_checkpoint
1,1.120100931962952,0.5423649883026856,0.6178379177870844,0.570361852645874,0.5994126876000683,0.5920717358589173,0.5807581189886547,0.6081598202387491,0.6622127204703367,0.6495991448423302,0.6404774630322465,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
2,0.9440949547570199,0.5570157605398871,0.6230944861232504,0.5498477220535278,0.6148231769973169,0.5703717708587647,0.599808699181753,0.583551158507665,0.6595403527525387,0.6517370390165687,0.6411010154997326,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
3,0.8908710603136569,0.5558243311726757,0.6248480107570443,0.538038432598114,0.6116650204806294,0.557850980758667,0.5929333242195108,0.5745769937833151,0.669695350080171,0.6600748262960984,0.6462675930874755,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
4,0.8376482271123677,0.5585566532502773,0.6275671412450939,0.5458438992500305,0.6124870672286034,0.5639665246009826,0.599723598424233,0.5793550411860148,0.6616782469267771,0.64735435595938,0.6378050953144486,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
5,0.7971047993050888,0.5467191969151619,0.6185407721230892,0.5535489916801453,0.6003819135552326,0.5736341834068298,0.5874605698670997,0.5899623930454254,0.6515232495991449,0.6363442009620524,0.6269374665954035,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
6,0.7411468350328505,0.5300372486480424,0.5996343358647819,0.5545004606246948,0.5843616243819942,0.5735345363616944,0.5733047465037592,0.5910114149252573,0.6274719401389631,0.6134687332977018,0.6022626046677356,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
7,0.6857240735553205,0.5253619635276916,0.5911631783301958,0.5786433219909668,0.5860628048129497,0.5962481260299682,0.5745623310163633,0.6085890630880991,0.6231961517904864,0.6212720470336717,0.6150008907892394,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
8,0.6220620911335573,0.5138339778134455,0.5821075756303845,0.5750841498374939,0.5735516502295221,0.5906488060951233,0.5598267907626081,0.6099918186664581,0.6050240513094601,0.5995724211651523,0.5899697131658649,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
9,0.5848299558274448,0.5202461805856559,0.5907832663239281,0.5791234970092773,0.5812824026755756,0.5975390434265136,0.563628563788254,0.6149768233299255,0.6194548369855692,0.6146445750935328,0.599946552645644,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
10,0.5290778399212286,0.5176982737775735,0.5904171832400822,0.5909087657928467,0.5784652679381409,0.6061362624168396,0.5620422268018112,0.626680314540863,0.6247995724211651,0.6164617851416354,0.6014608943523961,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
11,0.4907247780356556,0.517496792340282,0.5903419092725862,0.5957616567611694,0.5771159759515687,0.6118215560913086,0.5649061482023285,0.6353831887245178,0.6301443078567611,0.6198824158204169,0.6119722073757349,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互干净优先/问题2_跨模态交互完整优化_best.pt
