none,0.0,random,0.649919828968466,0.6331015253349882,0.5260718464851379
T,0.3,random,0.603955104222341,0.5808150791923924,0.5798320174217224
A,0.3,random,0.6419027258150721,0.6287098716051837,0.5255353450775146
V,0.3,random,0.6541956173169428,0.6359372272476532,0.5261308550834656
AV,0.3,random,0.6461785141635489,0.6310549642394173,0.5244790315628052
TAV,0.3,random,0.6173169428113309,0.5921176195932626,0.5794781446456909
TAV,0.1,scattered,0.6365579903794762,0.6214449699977428,0.5443363189697266
TAV,0.1,scattered,0.6360235168359166,0.6191768506019685,0.5463153719902039
TAV,0.2,scattered,0.6221272047033671,0.6009790789212115,0.5669922828674316
TAV,0.2,scattered,0.6253340459647247,0.6075541211237208,0.568114161491394
TAV,0.3,scattered,0.6253340459647247,0.6029173189934881,0.5823279619216919
TAV,0.3,scattered,0.615713522180652,0.5966417005814391,0.5859005451202393
