epoch,loss,classification_loss,regression_loss,head_lr,Negative_F1,Neutral_F1,Positive_F1,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,sign_conflict_rate
1,1.7088848044614837,1.100528016616481,0.4809809541198569,0.00010046948356807513,0.5126903553299492,0.042328042328042326,0.6827033218785796,0.5535714285714286,0.41257390651219045,0.472742164534738,0.7171459197998047,0.45689363087537055,0.06043956043956044
2,1.3849599143149147,0.890130769758717,0.34056202633559984,0.0002,0.6046511627906976,0.48,0.5546875,0.5357142857142857,0.5464462209302325,0.5499485089764886,0.5985390543937683,0.6454060025934262,0.5741758241758241
3,1.2554410085991514,0.8081152486689214,0.28719984386728403,0.00019863269777109873,0.6524064171122995,0.4943820224719101,0.7001569858712716,0.625,0.6156484751518271,0.6346360924237019,0.5832294821739197,0.6607026983126006,0.3695054945054945
4,1.1717635852070483,0.7402978725556476,0.25584751217158186,0.00019457233587073176,0.6898148148148148,0.4,0.7296137339055794,0.6442307692307693,0.6064761829067981,0.6350429861427715,0.6034505367279053,0.676227055645385,0.20604395604395603
5,1.0606215828461267,0.6598601952684877,0.2300157958702862,0.0001879422863405995,0.6784140969162996,0.31386861313868614,0.7197802197802198,0.6304945054945055,0.5706876432784019,0.6054819272911954,0.5949170589447021,0.6750673742807055,0.13186813186813187
6,0.9495493359688861,0.5726613512201488,0.20835757890427617,0.00017894399988070803,0.6579634464751958,0.36950146627565983,0.7240437158469946,0.6236263736263736,0.5838362095326167,0.6157355985232086,0.6204859018325806,0.6500583148675688,0.22252747252747251
7,0.8403876565151931,0.471942834311248,0.19080153632331903,0.00016785088487178854,0.6065573770491803,0.33618233618233617,0.6955345060893099,0.5865384615384616,0.5460914064402754,0.579531638170148,0.6255125403404236,0.6353610263085254,0.23214285714285715
8,0.7435678408739153,0.3944524730175314,0.1783257777509695,0.000155,0.6215538847117794,0.39577836411609496,0.6814159292035398,0.5906593406593407,0.566249392677138,0.5922828342290997,0.6361984610557556,0.6267248780291538,0.2774725274725275
9,0.6289982363371782,0.29971036573810755,0.16221741362181907,0.0001407818128993102,0.6732186732186732,0.42934782608695654,0.6930983847283406,0.6208791208791209,0.5985549613446568,0.6208108526390465,0.6162546873092651,0.640370368287009,0.25961538461538464
10,0.5883730224600421,0.2614999386206479,0.15494941992623984,0.00012562833599002375,0.6290322580645161,0.41362530413625304,0.674591381872214,0.5892857142857143,0.5724163146909944,0.5957411925757818,0.6092504858970642,0.6263624092271244,0.3159340659340659
11,0.5355469240269191,0.21681752577074256,0.14494331462632323,0.00011000000000000002,0.6145552560646901,0.3761194029850746,0.6986666666666667,0.603021978021978,0.5631137752388105,0.5933429755932874,0.6310492753982544,0.6308840831534847,0.21565934065934067
