epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE,best_checkpoint
1,1.1722553176805377,0.514115024900888,0.5873357007723077,0.5873318314552307,0.5715424784932678,0.6037385702133179,0.5593110268519631,0.6156625548998514,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
2,0.9931384683586657,0.5565091087490208,0.6256335585130681,0.5520384907722473,0.6135622865149007,0.5744928240776062,0.5968441540293983,0.5849974155426025,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
3,0.9374104239977896,0.5463584915909202,0.6165062469137704,0.5573139190673828,0.6013383700494185,0.5740819931030273,0.5879289626885015,0.5836396813392639,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
4,0.9009367905091494,0.5547182024839376,0.6258703547558209,0.5357661247253418,0.608111144637281,0.5579076766967773,0.5909823150703651,0.5730034013589224,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
5,0.8585513923317194,0.5702501057094734,0.6400936862801108,0.5267392992973328,0.6219766577253074,0.5509692192077636,0.6076527320231877,0.5692512392997742,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
6,0.8292723500635475,0.5594959933126075,0.6359921381691995,0.5582391619682312,0.6144458788919154,0.5772941470146179,0.594708835929576,0.599962850411733,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
7,0.7820996891241521,0.5553715443641583,0.6251431199147487,0.5425383448600769,0.6117656488741134,0.5640105485916138,0.5933531260091586,0.5866495271523794,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
8,0.761343294987455,0.5596046755859903,0.6282227139268265,0.5421895384788513,0.6172958877372103,0.5625850677490234,0.59752911180452,0.5855592091878256,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
9,0.7151110753184184,0.5468620586533768,0.6195123020899419,0.5696887969970703,0.6072595909499068,0.5872261881828308,0.585344624096715,0.610659639040629,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
10,0.6814794422825798,0.5578123817954779,0.6359446333934352,0.5680073499679565,0.6101418217694409,0.5831874966621399,0.5952065732332837,0.5984690388043722,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
11,0.6405312347924337,0.540776560812966,0.6105177268577863,0.5650380253791809,0.6004892923703753,0.5835026383399964,0.5824703441524407,0.6070606907208761,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互完整优化/问题2_跨模态交互完整优化_best.pt
