epoch,loss,classification_loss,regression_loss,head_lr,Negative_F1,Neutral_F1,Positive_F1,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,sign_conflict_rate
1,1.625206855541104,1.0425601884233,0.4306327416583406,0.00010046948356807513,0.5487179487179488,0.1552511415525114,0.6776859504132231,0.5645604395604396,0.46055168022789444,0.5091482949467431,0.6617640256881714,0.5876652261499894,0.12087912087912088
2,1.3339279098130168,0.8551025466180183,0.311044171697377,0.0002,0.6615776081424937,0.5111561866125761,0.6280701754385964,0.5975274725274725,0.6002679900645554,0.6080019847696612,0.5828495025634766,0.6603651828832604,0.4340659340659341
3,1.2318740901253034,0.7904989179311224,0.27117038180640607,0.00019863269777109873,0.6507936507936508,0.5107212475633528,0.6159292035398231,0.5879120879120879,0.5924813672989422,0.5992036708950675,0.5856417417526245,0.6768597365426129,0.4793956043956044
4,1.1610451080429722,0.738048321904151,0.2459731569312548,0.00019457233587073176,0.6683046683046683,0.42857142857142855,0.7314439946018894,0.6497252747252747,0.609440030492662,0.6370274377793175,0.5922752618789673,0.6814386425782596,0.20741758241758243
5,1.090552996301875,0.69418298526549,0.22652194323674055,0.0001879422863405995,0.6896551724137931,0.4053156146179402,0.7316421895861148,0.6524725274725275,0.6088709922059494,0.6372831025921006,0.5711119174957275,0.6871097294437103,0.18956043956043955
6,1.008121712386888,0.637168759471374,0.20090466624064623,0.00017894399988070803,0.689119170984456,0.5034013605442177,0.6963434022257552,0.635989010989011,0.6296213112514762,0.6455336119714825,0.5964540839195251,0.670696039949991,0.37637362637362637
7,0.9386239021037106,0.5859103144054681,0.18382102028934608,0.00016785088487178854,0.6867167919799498,0.46994535519125685,0.7091172214182344,0.6428571428571429,0.6219264561964803,0.6423286062395936,0.5835949182510376,0.6752323177568942,0.29120879120879123
8,0.8553492021112935,0.5286991470296618,0.16620194619880035,0.000155,0.6632124352331606,0.47980997624703087,0.6810477657935285,0.6181318681318682,0.6080233924245734,0.625138656766068,0.590478777885437,0.6650710621502339,0.3543956043956044
9,0.7895580791811428,0.4846741438191821,0.14910871220726363,0.0001407818128993102,0.69377990430622,0.45272206303724927,0.7082728592162555,0.6428571428571429,0.6182582755199083,0.6395820690948208,0.5789976119995117,0.6668542289784194,0.2760989010989011
10,0.722093896966585,0.43341422549715625,0.13254550650296076,0.00012562833599002375,0.6666666666666666,0.4869109947643979,0.6996996996996997,0.6346153846153846,0.6177591203769214,0.6365706797643971,0.591762900352478,0.6598833932717716,0.3159340659340659
11,0.6682779934484634,0.3931294671946288,0.12027798573805693,0.00011000000000000002,0.6748166259168704,0.49743589743589745,0.7062404870624048,0.6414835164835165,0.6261643368050576,0.6445737839205676,0.6003036499023438,0.6633190468104649,0.33104395604395603
12,0.6101093959640449,0.35238340021299086,0.11351987806109476,9.437166400997628e-05,0.6402116402116402,0.4759493670886076,0.6939970717423133,0.6208791208791209,0.6033860263475205,0.6236666094461588,0.5989893078804016,0.650938702715176,0.33791208791208793
13,0.577875102769601,0.3324348012886137,0.10452068897899887,7.921818710068983e-05,0.6682692307692307,0.45161290322580644,0.703862660944206,0.6346153846153846,0.6079149316464144,0.6300354603449884,0.605622410774231,0.6492952847707986,0.2692307692307692
14,0.5488972515567367,0.30393211116813157,0.09556873990966121,6.500000000000002e-05,0.6533665835411472,0.45125348189415043,0.6982758620689655,0.625,0.6009653091680877,0.6231337888149867,0.6068969964981079,0.6524748638691611,0.2925824175824176
