model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson
fixed_50_20,AV,0.3,random,0,0.6739711384286478,0.6358503274212343,0.6708850752515086,0.5273494650687168,0.7299480070626951
zero_aware_fixed,AV,0.3,random,0,0.6739711384286478,0.6358503274212343,0.6708850752515086,0.5273494650687168,0.7299480070626951
text_only,TAV,0.3,random,0,0.6135756280064136,0.5900254348674493,0.6208652028186473,0.5923550724983215,0.6292366462934522
fusion_only,TAV,0.3,random,0,0.6333511491181186,0.593395639207809,0.6308993514558932,0.5902218818664551,0.6312904433377317
fixed_50_20,TAV,0.3,random,0,0.632816675574559,0.5991215253291142,0.6345090277343524,0.5757119567487542,0.6511385285486001
zero_aware_fixed,TAV,0.3,random,0,0.632816675574559,0.5991215253291142,0.6345090277343524,0.5757119567487542,0.6511385285486001
text_only,TAV,0.1,scattered,0,0.6419027258150721,0.6149246785670176,0.6453420415780504,0.5617160201072693,0.6874459981709325
fusion_only,TAV,0.1,scattered,0,0.6563335114911811,0.6173381860422301,0.6522228172722265,0.5558651685714722,0.6906752432631132
fixed_50_20,TAV,0.1,scattered,0,0.6643506146445751,0.6292065744922877,0.6627818960184908,0.5422246243357549,0.7099829577549543
zero_aware_fixed,TAV,0.1,scattered,0,0.6643506146445751,0.6292065744922877,0.6627818960184908,0.5422246243357549,0.7099829577549543
text_only,TAV,0.1,scattered,1,0.6429716729021914,0.6165805751976522,0.6466211495979909,0.5627294778823853,0.6789048235282856
fusion_only,TAV,0.1,scattered,1,0.6515232495991449,0.6117186575638748,0.6486684238785514,0.5595916509628296,0.6870956360812847
fixed_50_20,TAV,0.1,scattered,1,0.6600748262960984,0.6241505708857917,0.6586728339783797,0.5430702791107745,0.70217475011221
zero_aware_fixed,TAV,0.1,scattered,1,0.6600748262960984,0.6241505708857917,0.6586728339783797,0.5430702791107745,0.70217475011221
text_only,TAV,0.2,scattered,0,0.6215927311598076,0.599038161926433,0.6289908023114247,0.5727155208587646,0.6616392238882403
fusion_only,TAV,0.2,scattered,0,0.6285408872260823,0.5910632823515686,0.6269371792232946,0.5759310722351074,0.6698924614319351
fixed_50_20,TAV,0.2,scattered,0,0.6338856226616782,0.6017825988820585,0.6351805774683023,0.5614468697614754,0.6858374010483614
zero_aware_fixed,TAV,0.2,scattered,0,0.6338856226616782,0.6017825988820585,0.6351805774683023,0.5614468697614754,0.6858374010483614
text_only,TAV,0.2,scattered,1,0.6264029930518439,0.6046829308792434,0.6337907937142871,0.5814703106880188,0.6428948379491133
fusion_only,TAV,0.2,scattered,1,0.6445750935328701,0.6061264673504485,0.6421547176849031,0.5752477049827576,0.6550871838701311
fixed_50_20,TAV,0.2,scattered,1,0.6440406199893105,0.6118662375344402,0.6450960877560911,0.5624562275553976,0.6677945598758411
zero_aware_fixed,TAV,0.2,scattered,1,0.6440406199893105,0.6118662375344402,0.6450960877560911,0.5624562275553976,0.6677945598758411
text_only,TAV,0.3,scattered,0,0.6103687867450561,0.590686101586215,0.6204047813929584,0.5924549102783203,0.6258847840064544
fusion_only,TAV,0.3,scattered,0,0.6290753607696419,0.5909175508408504,0.6275116615283106,0.5877983570098877,0.6411128043291335
fixed_50_20,TAV,0.3,scattered,0,0.640833778727953,0.6123216261532108,0.644109305471203,0.5728584163633131,0.6541212650581254
zero_aware_fixed,TAV,0.3,scattered,0,0.640833778727953,0.6123216261532108,0.644109305471203,0.5728584163633131,0.6541212650581254
text_only,TAV,0.3,scattered,1,0.6082308925708177,0.590225577550456,0.6177596813869292,0.590819239616394,0.6228838334652766
fusion_only,TAV,0.3,scattered,1,0.6392303580972741,0.604260206617592,0.6376721504953641,0.5858356952667236,0.6410895664454693
fixed_50_20,TAV,0.3,scattered,1,0.6322822020309995,0.6037778536819713,0.6349157161394078,0.5750130038412898,0.6520335695558453
zero_aware_fixed,TAV,0.3,scattered,1,0.6322822020309995,0.6037778536819713,0.6349157161394078,0.5750130038412898,0.6520335695558453
