fold,bias,score,clean_Macro_F1,missing_Macro_F1,clean_MAE,missing_MAE,clean_Accuracy
1,-1.0,0.4422030031338377,0.5005997665711015,0.5028423229180093,0.5876159071922302,0.6027449250221253,0.6075731497418244
1,-0.9,0.46363584635317323,0.5299079215473498,0.5162645875995789,0.5864965915679932,0.6025115728378296,0.6179001721170396
1,-0.8,0.48319686100157333,0.5513181775948843,0.533818851998747,0.5857073068618774,0.6017257690429687,0.6247848537005164
1,-0.7,0.49343526077623995,0.5609214442289031,0.5445741555248708,0.5851010680198669,0.6011497139930725,0.6265060240963856
1,-0.6,0.5052075331333894,0.5737630029320719,0.5552168311722312,0.5852730870246887,0.6003745913505554,0.6282271944922547
1,-0.5,0.5149109005739597,0.5827735388754055,0.5655167411905895,0.5846994519233704,0.5999853372573852,0.6282271944922547
1,-0.4,0.5336387899263907,0.6092431652033455,0.5761876767878026,0.58225017786026,0.599282443523407,0.6437177280550774
1,-0.3,0.5416502283839589,0.612190021941842,0.5891845849115249,0.5826948285102844,0.5980466723442077,0.6402753872633391
1,-0.2,0.5428836742581409,0.6098506224069575,0.594048710581599,0.583445131778717,0.5978747129440307,0.6333907056798623
1,-0.1,0.5509479445056689,0.6199252672123776,0.5997817711577096,0.581757664680481,0.5963538289070129,0.6385542168674698
1,-0.0,0.5486878246960103,0.6138852197546149,0.6014717264151309,0.5840210318565369,0.5957919359207153,0.6299483648881239
1,0.1,0.5525677764214855,0.6197536535240965,0.6032237104989892,0.5828163623809814,0.595601749420166,0.6316695352839932
1,0.2,0.5526732188307338,0.6228361031618168,0.6002199997981129,0.5810856819152832,0.596010971069336,0.6316695352839932
1,0.3,0.5511922744739193,0.6217029011531822,0.5983285541705413,0.5798652172088623,0.5966038465499878,0.6265060240963856
1,0.4,0.5425370859982992,0.6114878732889909,0.5915991990600856,0.5828288197517395,0.5973001837730407,0.6144578313253012
1,0.5,0.5303243136583642,0.5967800127548945,0.5825619710758109,0.5882617831230164,0.5986717820167542,0.5972461273666093
1,0.6,0.5144895293175539,0.5802527325353035,0.5685537718452724,0.5945382118225098,0.6037362456321717,0.5783132530120482
1,0.7,0.506177674991336,0.5749465593000512,0.5570535899151037,0.5914646983146667,0.6049832940101624,0.5697074010327022
1,0.8,0.4980956826394559,0.5668380487337834,0.5490556926723715,0.5913209319114685,0.6057028293609619,0.5593803786574871
1,0.9,0.48804854557492144,0.5609734084074834,0.5351180489113354,0.590387225151062,0.6095564365386963,0.5524956970740104
1,1.0,0.47902706171300086,0.5548519384375609,0.5233535497917551,0.5907490849494934,0.6107645630836487,0.5456110154905336
2,-1.0,0.42439140023144817,0.4836444793729309,0.483217703271133,0.5837742686271667,0.5970195531845093,0.5951972555746141
2,-0.9,0.4427492072424425,0.5048849001217229,0.49861429232298554,0.5831592082977295,0.5968485713005066,0.6003430531732419
