epoch,loss,classification_loss,regression_loss,head_lr,Negative_F1,Neutral_F1,Positive_F1,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,sign_conflict_rate
1,1.6420404088329261,1.0570166757409,0.4660866736246387,0.00010046948356807513,0.5806451612903226,0.0975609756097561,0.6878824969400245,0.5728021978021978,0.455362877946701,0.5083357234941344,0.7228718996047974,0.4753788154149466,0.07692307692307693
2,1.3640795655093843,0.8730195724348507,0.339502736821141,0.0002,0.6140350877192983,0.5017064846416383,0.5984848484848485,0.5631868131868132,0.571408806948595,0.5784245879562029,0.5969610810279846,0.6498491779864066,0.5521978021978022
3,1.2432340226822616,0.8030037255913999,0.28226250822835125,0.00019863269777109873,0.632768361581921,0.5061224489795918,0.6666666666666666,0.6043956043956044,0.6018524924093932,0.6164974538893597,0.5834602117538452,0.655448238941884,0.4258241758241758
4,1.1701466603458208,0.7420187560325497,0.25647204743584556,0.00019457233587073176,0.6730310262529833,0.4024024024024024,0.7130681818181818,0.6304945054945055,0.5961672034911891,0.6232190644295358,0.6063444018363953,0.6722630872999007,0.20467032967032966
5,1.073317804806669,0.6739981017761947,0.2288324072817122,0.0001879422863405995,0.6768558951965066,0.3493150684931507,0.7252124645892352,0.6346153846153846,0.5837944760929642,0.6165221154455791,0.6143859028816223,0.6545104317213073,0.15247252747252749
6,0.9584274934211248,0.5837458122364232,0.20724984344112482,0.00017894399988070803,0.6504065040650406,0.4797979797979798,0.7149059334298119,0.6346153846153846,0.6150368057642774,0.6372318318949217,0.5990340709686279,0.651518178989754,0.29395604395604397
7,0.8349783617845723,0.4763838876161217,0.18531157328209408,0.00016785088487178854,0.6683804627249358,0.2975778546712803,0.7043701799485861,0.614010989010989,0.5567761657816007,0.5913706337959814,0.6720858812332153,0.6251460557524723,0.14835164835164835
8,0.7017332016022553,0.36306034406306037,0.1717216088458406,0.000155,0.6801801801801802,0.3916913946587537,0.6844444444444444,0.6153846153846154,0.5854386730944595,0.6092452691710851,0.6108609437942505,0.6253010116428289,0.22664835164835165
9,0.6221130998201774,0.2961603289758655,0.15919524272073043,0.0001407818128993102,0.6666666666666666,0.45925925925925926,0.6749611197511665,0.6126373626373627,0.600295681892364,0.6180960103199605,0.6052048802375793,0.6401304521999981,0.3159340659340659
10,0.5600880455802864,0.23922226543017955,0.14773268579667162,0.00012562833599002375,0.6455026455026455,0.36046511627906974,0.6948228882833788,0.603021978021978,0.5669302166883646,0.5963588772097196,0.5970914363861084,0.645165769694408,0.23763736263736263
11,0.5082965179788115,0.2057732631552947,0.13937139135081444,0.00011000000000000002,0.6419098143236074,0.3591331269349845,0.6931216931216931,0.6057692307692307,0.5647215447934283,0.5942157271728469,0.6496716737747192,0.6350796138913946,0.20467032967032966
12,0.468053443890782,0.1806674869337552,0.13391844066900546,9.437166400997628e-05,0.6498740554156172,0.40217391304347827,0.6714905933429812,0.5975274725274725,0.5745128539340256,0.5973047746779461,0.5908440351486206,0.6337887948014683,0.2774725274725275
13,0.4305285201386107,0.15604131707283253,0.12270249517310954,7.921818710068983e-05,0.6563307493540051,0.3858695652173913,0.6676176890156919,0.5934065934065934,0.5699393345290295,0.5932127929316331,0.5920519232749939,0.6363326835298556,0.26373626373626374
14,0.4182261653909101,0.14869272439552586,0.11237891141692517,6.500000000000002e-05,0.6434316353887399,0.3641791044776119,0.6818181818181818,0.5989010989010989,0.5631429738948445,0.5906736505061901,0.6313564777374268,0.6276184665750771,0.22802197802197802
