stage,epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE
student,1,1.0666848993860185,0.5612131974274528,0.6293336183978927,0.5471346974372864,0.6184302221301966,0.5662653088569641,0.6002049468437683,0.5745817820231119
student,2,0.9640712186228484,0.5601963401395841,0.6308808177933042,0.5561134815216064,0.6129575332866366,0.5773126721382141,0.6035204325811429,0.584515243768692
student,3,0.9344740605447441,0.5608223918628892,0.6298575653161782,0.5640999674797058,0.6167889397789417,0.5847776055335998,0.6059760028477891,0.5947596728801727
student,4,0.902441922808066,0.5630014316333514,0.6281788435293308,0.5354337096214294,0.6166288772104387,0.5544917225837708,0.6060051950959667,0.5669409135977427
student,5,0.8816790094133466,0.5544800766307462,0.6213612218460711,0.5422971248626709,0.6084214248526334,0.5612350106239319,0.5972765467608534,0.5748289426167806
student,6,0.8422025805339217,0.5650522086660309,0.6354885058737093,0.5375147461891174,0.6185436098325052,0.5574911713600159,0.6024350771047625,0.5737158258756002
student,7,0.8216183657059446,0.5559290641958536,0.6257356682747504,0.5510129332542419,0.6083694542718973,0.5707730174064636,0.5991691664527349,0.5821027159690857
student,8,0.7973491605371237,0.5536821595814092,0.62604865095716,0.5528154969215393,0.6093062253397407,0.574701189994812,0.5917380995345453,0.5898980895678202
student,9,0.77148442203179,0.5361247443430601,0.6067742534055682,0.5626006722450256,0.5939600761739946,0.5784307241439819,0.5762701624104277,0.5932359993457794
student,10,0.7497383218724281,0.539509717858332,0.6125278803153434,0.5634509921073914,0.592925529829661,0.5802402973175049,0.5813997620779731,0.5951257745424906
student,11,0.7227218196494505,0.5316582808607894,0.6026527058266543,0.5712008476257324,0.5864117572310426,0.5867263674736023,0.5768585083749699,0.5978018740812937
student,12,0.70267343102023,0.5371098436424455,0.6066008220817135,0.5669620037078857,0.5946660305628122,0.5835453152656556,0.5803137573786726,0.5946527322133383
student,13,0.6792942602187395,0.5242441358503527,0.5977528263954421,0.5784077644348145,0.5760193604421052,0.5930537104606628,0.5710348362883452,0.6015110611915588
