model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
fine_student,none,0.0,random,0,0.6590058792089791,0.6354885058737093,0.6633381567316199,0.5375147461891174,0.712489411694517,0.0,0.0020962958007180927,0.04504805869628242
fine_student,T,0.3,random,0,0.6167824692677712,0.5903538964866732,0.6217663230810966,0.5901990532875061,0.6277245227857511,0.29916817198545975,0.0020962958007180927,0.04504805869628242
fine_student,A,0.3,random,0,0.6648850881881346,0.6400318659908938,0.6687719396979832,0.5345659255981445,0.7153192298458259,0.0,0.300573136192324,0.04504805869628242
fine_student,V,0.3,random,0,0.6536611437733832,0.6301796341298264,0.6586251807079194,0.5398223400115967,0.7105079415579563,0.0,0.0020962958007180927,0.3313708436475547
fine_student,AV,0.3,random,0,0.6595403527525387,0.6376729837738118,0.6645478004240886,0.5361180901527405,0.7141600862235903,0.0,0.300573136192324,0.3313708436475547
fine_student,TAV,0.3,random,0,0.61838588989845,0.5944796687813207,0.6239583410064111,0.5867504477500916,0.6336009529273084,0.29916817198545975,0.300573136192324,0.3313708436475547
fine_student,TAV,0.1,scattered,0,0.6488508818813469,0.626328380686055,0.6544543252926803,0.5547082424163818,0.6850097846693245,0.10229477487121161,0.1041234584420508,0.142458910372204
fine_student,TAV,0.1,scattered,1,0.6344200962052379,0.6154866525890711,0.6407891996954508,0.5570439696311951,0.6771747521565978,0.10229477487121161,0.10427956557614683,0.14252581342967374
fine_student,TAV,0.2,scattered,0,0.6178514163548904,0.594958241747957,0.6238005470477523,0.574973464012146,0.6587495344333772,0.20144510604134608,0.20300617738230636,0.23719363974933655
fine_student,TAV,0.2,scattered,1,0.61838588989845,0.597353893128541,0.6252550929119157,0.5780298709869385,0.6555216363641372,0.20144510604134608,0.20302847840146296,0.2375058540175286
fine_student,TAV,0.3,scattered,0,0.6114377338321753,0.589139993639121,0.617899397504247,0.5891991257667542,0.6333234908985075,0.29916817198545975,0.30068464128810685,0.3303895988046654
fine_student,TAV,0.3,scattered,1,0.6151790486370925,0.5913433008378299,0.6214864453737796,0.5883402824401855,0.6271709916655567,0.29916817198545975,0.300573136192324,0.32967596619165496
