model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
fine_teacher,none,0.0,random,0,0.6729021913415286,0.630582090001993,0.6661770265934839,0.5494562983512878,0.7086082936476975,0.0,0.0020962958007180927,0.04504805869628242
fine_teacher,T,0.3,random,0,0.615713522180652,0.568646359708857,0.6100431689309352,0.599310576915741,0.6132493427696099,0.29916817198545975,0.0020962958007180927,0.04504805869628242
fine_teacher,A,0.3,random,0,0.6611437733832175,0.6237242887702514,0.6572727352829375,0.5827138423919678,0.697274991260074,0.0,0.300573136192324,0.04504805869628242
fine_teacher,V,0.3,random,0,0.6702298236237306,0.6313385274442519,0.6662371634453041,0.5462380647659302,0.7115211968508307,0.0,0.0020962958007180927,0.3313708436475547
fine_teacher,AV,0.3,random,0,0.6557990379476216,0.6228003895726858,0.6548532692620329,0.5881927013397217,0.6996932882891499,0.0,0.300573136192324,0.3313708436475547
fine_teacher,TAV,0.3,random,0,0.6290753607696419,0.5738760274468782,0.6165902893543762,0.6003584265708923,0.626682991163458,0.29916817198545975,0.300573136192324,0.3313708436475547
fine_teacher,TAV,0.1,scattered,0,0.6627471940138963,0.619235172311416,0.6557439998765833,0.5578231811523438,0.6924316592069824,0.10229477487121161,0.1041234584420508,0.142458910372204
fine_teacher,TAV,0.1,scattered,1,0.6520577231427044,0.6117824376004869,0.6468036976812136,0.5637408494949341,0.6757727330009139,0.10229477487121161,0.10427956557614683,0.14252581342967374
fine_teacher,TAV,0.2,scattered,0,0.6301443078567611,0.5812090761280946,0.6216710012158458,0.5796980261802673,0.6581713318714975,0.20144510604134608,0.20300617738230636,0.23719363974933655
fine_teacher,TAV,0.2,scattered,1,0.6451095670764297,0.6006138491485781,0.6382119276306168,0.5779193639755249,0.6601721414592603,0.20144510604134608,0.20302847840146296,0.2375058540175286
fine_teacher,TAV,0.3,scattered,0,0.6306787814003206,0.5821984991593648,0.6221243883802332,0.5995479226112366,0.6305093308031529,0.29916817198545975,0.30068464128810685,0.3303895988046654
fine_teacher,TAV,0.3,scattered,1,0.6162479957242116,0.5681595663233805,0.6093344205753585,0.5994290709495544,0.6178239219406398,0.29916817198545975,0.300573136192324,0.32967596619165496
