epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE,clean_Accuracy,contiguous_30pct_mean_Accuracy,scattered_TAV_mean_Accuracy,best_checkpoint,clean_probability,contiguous_probability
1,1.0385125202592462,0.552625740558388,0.6228426907393416,0.5686341524124146,0.6107300530201668,0.5898365020751953,0.5954982560322177,0.5979789098103842,0.6451095670764297,0.6383752004275788,0.6225725993230001,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.65,0.2
2,0.850768173346296,0.5534122610254648,0.6294048620854831,0.5793342590332031,0.6106791716693141,0.604023563861847,0.5933666923185413,0.6089788575967153,0.6659540352752539,0.6532335649385356,0.6380723320862284,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.6391304347826087,0.20347826086956522
3,0.8038611150113866,0.5137733589263476,0.5903017104862881,0.5880319476127625,0.5709540785511972,0.6086324453353882,0.5555575860288483,0.6173524459203085,0.6632816675574559,0.6481026189203634,0.6378050953144486,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.6282608695652174,0.20695652173913046
4,0.7865934853907675,0.5483398174917082,0.6168833232028347,0.5459086298942566,0.6050493896355358,0.5650913000106812,0.5876986372898411,0.5816278556982676,0.6440406199893105,0.6378407268840192,0.6260466773561375,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.6173913043478261,0.21043478260869566
5,0.7483432376757264,0.5560379237400188,0.6295112432465187,0.5492087602615356,0.6114061469166475,0.5664505243301392,0.590672623448207,0.5809446175893148,0.649919828968466,0.6362373062533404,0.6236415464101194,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.6065217391304348,0.21391304347826087
6,0.6955799125134945,0.5323984552005365,0.6076212239956147,0.5898197293281555,0.5920440119670365,0.600023877620697,0.5714553798077375,0.6035448809464773,0.672367717797969,0.6582576162479956,0.6405665419561731,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.5956521739130435,0.2173913043478261
7,0.6386401652125642,0.5404027537349944,0.6139350184238612,0.5685795545578003,0.5981053647161819,0.5822095990180969,0.5782138920628467,0.5952520171801249,0.6467129877071085,0.6390165686798503,0.6222162836272938,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.5847826086956522,0.22086956521739132
8,0.6002326741581783,0.5255258480405839,0.5965193286245918,0.5957299470901489,0.5865165576248299,0.6009463310241699,0.5699629278782374,0.6056047081947327,0.6429716729021914,0.6344200962052378,0.6149118118653126,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.5739130434782609,0.22434782608695653
9,0.5663594913203269,0.5110431350503407,0.5799435817037589,0.6164221167564392,0.5742306780702766,0.6164601564407348,0.5621510837257392,0.6232712268829346,0.6344200962052379,0.6277926242650989,0.6160698378763584,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.5630434782608695,0.22782608695652176
10,0.5378043822711334,0.5295220749245594,0.5995166758055116,0.5625826120376587,0.5878504154659179,0.5722766399383545,0.569455762059026,0.5934948325157166,0.632816675574559,0.6202030999465526,0.6031533939070015,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.5521739130434783,0.23130434782608697
11,0.5078401574864984,0.521303652807682,0.5956905915184594,0.6029534935951233,0.5796812729651444,0.6048710227012635,0.5664812934809819,0.6185694436232249,0.6247995724211651,0.6102618920363442,0.5941564225904151,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.5413043478260869,0.2347826086956522
12,0.47296662151347846,0.5179840329955248,0.586336165174114,0.5821956396102905,0.576162451781806,0.5883898735046387,0.5657337413295204,0.6059923072655996,0.6141101015499733,0.6049171566007483,0.5944236593621949,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_鲁棒V2残差门控/问题2_鲁棒V2质量门控_best.pt,0.5304347826086957,0.23826086956521741
