epoch,train_loss,validation_score,clean_Macro_F1,missing_30pct_Macro_F1,clean_MAE
1,1.4075600173738267,0.4533863507829303,0.525998825356098,0.5137378936009676,0.6605434417724609
2,1.2129651517779738,0.5192388848349321,0.5910089677430713,0.5696084632388961,0.6036024689674377
3,1.1228550330356315,0.5321485786492486,0.600586000317056,0.5840842522554126,0.5941829681396484
4,1.0850578325766105,0.5312948709691454,0.5981581081540723,0.5831327794331749,0.5869458317756653
5,1.0078140397866566,0.523480927397362,0.5887838896495811,0.5790594272423107,0.5979282259941101
6,1.0090122984515295,0.5002539938170524,0.56866694470247,0.5632419702368562,0.6558375358581543
7,0.955036688733984,0.5272552290147141,0.6014315765408265,0.5755626463754578,0.605228841304779
8,0.8937146696779463,0.504073464386797,0.5741377440982722,0.563852614002333,0.6453116536140442
9,0.8614839635513447,0.5273566607842808,0.6036486742314154,0.5766769408189729,0.6233102679252625
10,0.8216450614509759,0.5179129842973437,0.5864803942566531,0.5779439889975342,0.6381655931472778
