模型,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
baseline,none,0.0,random,0,0.614010989010989,0.6006686453298563,0.6195730845451591,0.5881747603416443,0.6352204699998857,0.0,0.002678779408339157,0.057069648264616815
baseline,T,0.1,random,0,0.5947802197802198,0.5816262143079612,0.601120297186425,0.5917107462882996,0.6178414044668147,0.10214302352667133,0.002678779408339157,0.057069648264616815
baseline,T,0.1,random,1,0.6112637362637363,0.5962579325351283,0.6163844732579624,0.593265950679779,0.609212109056118,0.10214302352667133,0.002678779408339157,0.057069648264616815
baseline,T,0.3,random,0,0.5618131868131868,0.5463253441299144,0.5679071568684827,0.6325991153717041,0.5535641546404738,0.29984859072909387,0.002678779408339157,0.057069648264616815
baseline,T,0.3,random,1,0.5714285714285714,0.5567213860885639,0.5776640455004134,0.63015216588974,0.5425356939801553,0.29984859072909387,0.002678779408339157,0.057069648264616815
baseline,T,0.5,random,0,0.5604395604395604,0.5494531010243137,0.5704083412028068,0.6502175331115723,0.5050336394008803,0.4997670626601444,0.002678779408339157,0.057069648264616815
baseline,T,0.5,random,1,0.5247252747252747,0.5111293750588924,0.5342484735119769,0.6700627207756042,0.4661657947576948,0.4997670626601444,0.002678779408339157,0.057069648264616815
baseline,T,0.7,random,0,0.489010989010989,0.4780313702876169,0.4983636314493356,0.7079851031303406,0.41193759093535004,0.6995690659212672,0.002678779408339157,0.057069648264616815
baseline,T,0.7,random,1,0.49313186813186816,0.4836801626918099,0.5023915086577316,0.717353343963623,0.35033563132372114,0.6995690659212672,0.002678779408339157,0.057069648264616815
baseline,A,0.1,random,0,0.6153846153846154,0.6017156862745098,0.6207882191338073,0.5871880650520325,0.6359517831054242,0.0,0.104530631260191,0.057069648264616815
baseline,A,0.1,random,1,0.6153846153846154,0.6016879052847158,0.6210126921633917,0.5881044864654541,0.6361061843204017,0.0,0.104530631260191,0.057069648264616815
baseline,A,0.3,random,0,0.6071428571428571,0.5959970424268474,0.6126445530184966,0.5877906680107117,0.6363960891256897,0.0,0.3017120894479385,0.057069648264616815
baseline,A,0.3,random,1,0.6181318681318682,0.6054542949206323,0.6227725989502922,0.5904639959335327,0.63297269826595,0.0,0.3017120894479385,0.057069648264616815
baseline,A,0.5,random,0,0.6153846153846154,0.6018147955402197,0.6185794977563334,0.5954364538192749,0.6288379004610217,0.0,0.5010482180293501,0.057069648264616815
baseline,A,0.5,random,1,0.6153846153846154,0.6031842186857385,0.6190670428620928,0.5916663408279419,0.6354067214706635,0.0,0.5010482180293501,0.057069648264616815
baseline,A,0.7,random,0,0.6195054945054945,0.6073920281872219,0.6226849471708944,0.5922772884368896,0.6314524500968148,0.0,0.7002678779408339,0.057069648264616815
baseline,A,0.7,random,1,0.6208791208791209,0.608747218350329,0.6240607019713468,0.5919560194015503,0.6325709299412711,0.0,0.7002678779408339,0.057069648264616815
baseline,V,0.1,random,0,0.6112637362637363,0.5978693870478929,0.6170136762401185,0.5884996652603149,0.6367287522204307,0.0,0.002678779408339157,0.15356394129979037
baseline,V,0.1,random,1,0.6085164835164835,0.5948756432929326,0.6144408789135035,0.5906908512115479,0.6353730350827074,0.0,0.002678779408339157,0.15362217563475425
baseline,V,0.3,random,0,0.6085164835164835,0.5945754283516299,0.6147597373568826,0.589219868183136,0.6359431384531441,0.0,0.002678779408339157,0.33979734451432564
baseline,V,0.3,random,1,0.614010989010989,0.6000331056568413,0.619553347119313,0.58719402551651,0.637024786281682,0.0,0.002678779408339157,0.34014675052410903
baseline,V,0.5,random,0,0.6085164835164835,0.5940509674402908,0.6154060686169598,0.5898767113685608,0.6376387023181567,0.0,0.002678779408339157,0.529874213836478
