stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
epoch,none,0.0,random,0,0.6285408872260823,0.6064411401035686,0.6375944965943414,0.5578625202178955,0.6879011611071006,0.0,0.0020962958007180927,0.04504805869628242
epoch,T,0.3,random,0,0.5991448423303046,0.5779224983983394,0.6090018768700026,0.6066161394119263,0.6085134561819495,0.29916817198545975,0.0020962958007180927,0.04504805869628242
epoch,A,0.3,random,0,0.6231961517904864,0.6035696353541908,0.6331923631904381,0.5573715567588806,0.6863528727688689,0.0,0.300573136192324,0.04504805869628242
epoch,V,0.3,random,0,0.6285408872260823,0.6009032199440517,0.6350193439001885,0.559813380241394,0.6888285820146574,0.0,0.0020962958007180927,0.3313708436475547
epoch,AV,0.3,random,0,0.6242650988776055,0.6001359403017505,0.6326403915769127,0.5578955411911011,0.6885540520425409,0.0,0.300573136192324,0.3313708436475547
epoch,TAV,0.3,random,0,0.603955104222341,0.577407837457563,0.6103203141565453,0.606435239315033,0.6155708940222441,0.29916817198545975,0.300573136192324,0.3313708436475547
epoch,TAV,0.1,scattered,0,0.6301443078567611,0.6076649164109621,0.6375394094544642,0.5662509202957153,0.6722055912803466,0.10229477487121161,0.1041234584420508,0.142458910372204
epoch,TAV,0.1,scattered,1,0.6130411544628541,0.5911133594145068,0.6216825534266739,0.5801995992660522,0.652187910635035,0.10229477487121161,0.10427956557614683,0.14252581342967374
epoch,TAV,0.2,scattered,0,0.6114377338321753,0.585014453753428,0.6169417036923632,0.5940427184104919,0.6381429575511849,0.20144510604134608,0.20300617738230636,0.23719363974933655
epoch,TAV,0.2,scattered,1,0.6092998396579369,0.5835987887343168,0.6171192645436834,0.5922335982322693,0.637557495929794,0.20144510604134608,0.20302847840146296,0.2375058540175286
epoch,TAV,0.3,scattered,0,0.615713522180652,0.5881628154816756,0.620554572887605,0.6020354628562927,0.6245220324710861,0.29916817198545975,0.30068464128810685,0.3303895988046654
epoch,TAV,0.3,scattered,1,0.6135756280064136,0.5844643724387839,0.6178550077343593,0.6003503799438477,0.6173862144333431,0.29916817198545975,0.300573136192324,0.32967596619165496
