stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
best,none,0.0,random,0,0.65793693212186,0.6227202631571285,0.6579923124673844,0.5757895708084106,0.6615135343674419,0.0,0.0020962958007180927,0.04504805869628242
best,T,0.3,random,0,0.6226616782469268,0.5870996640537514,0.6246128598045371,0.6180191040039062,0.6024281356933706,0.29916817198545975,0.0020962958007180927,0.04504805869628242
best,A,0.3,random,0,0.6606092998396579,0.6225986894389296,0.6591752813040904,0.5847381353378296,0.6587628031669677,0.0,0.300573136192324,0.04504805869628242
best,V,0.3,random,0,0.6590058792089791,0.6285324604227648,0.6618399470486636,0.5754956007003784,0.6628051356174168,0.0,0.0020962958007180927,0.3313708436475547
best,AV,0.3,random,0,0.6563335114911811,0.6265657972037316,0.6601465319828966,0.5868741273880005,0.6577870968275906,0.0,0.300573136192324,0.3313708436475547
best,TAV,0.3,random,0,0.6338856226616782,0.5941135271450863,0.6316560839842992,0.6250887513160706,0.6035649750040682,0.29916817198545975,0.300573136192324,0.3313708436475547
best,TAV,0.1,scattered,0,0.6541956173169428,0.6198055414391579,0.6550901162347353,0.5873459577560425,0.6470430733019049,0.10229477487121161,0.1041234584420508,0.142458910372204
best,TAV,0.1,scattered,1,0.655264564404062,0.6233672686139053,0.6570137523132612,0.5878110527992249,0.6389574708034564,0.10229477487121161,0.10427956557614683,0.14252581342967374
best,TAV,0.2,scattered,0,0.640833778727953,0.6059367805612457,0.6422479347423372,0.6079023480415344,0.6161020268133909,0.20144510604134608,0.20300617738230636,0.23719363974933655
best,TAV,0.2,scattered,1,0.6376269374665954,0.6017575683187668,0.638727830703124,0.6105441451072693,0.6204673191562525,0.20144510604134608,0.20302847840146296,0.2375058540175286
best,TAV,0.3,scattered,0,0.6280064136825227,0.5942601099385266,0.6297590692708265,0.6213883757591248,0.6002402563890361,0.29916817198545975,0.30068464128810685,0.3303895988046654
best,TAV,0.3,scattered,1,0.6199893105291288,0.5864069725949163,0.6224048632322546,0.6216394305229187,0.5978493508241773,0.29916817198545975,0.300573136192324,0.32967596619165496
