stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
epoch,none,0.0,random,0,0.6349545697487974,0.5912609293641508,0.6324514049091143,0.6061199307441711,0.6616113126585622,0.0,0.0020962958007180927,0.04504805869628242
epoch,T,0.3,random,0,0.5959380010689471,0.5545205411210987,0.5948317653444404,0.6266656517982483,0.605889731794761,0.29916817198545975,0.0020962958007180927,0.04504805869628242
epoch,A,0.3,random,0,0.6301443078567611,0.5906769532045931,0.6299924198061316,0.6022799611091614,0.6603634192738733,0.0,0.300573136192324,0.04504805869628242
epoch,V,0.3,random,0,0.6397648316408338,0.5890459302883687,0.6330646610892559,0.6074458360671997,0.6619384266230997,0.0,0.0020962958007180927,0.3313708436475547
epoch,AV,0.3,random,0,0.6344200962052379,0.593188489485318,0.6332123767405733,0.6064545512199402,0.6614595082332567,0.0,0.300573136192324,0.3313708436475547
epoch,TAV,0.3,random,0,0.601282736504543,0.5621457309661805,0.6008391221259524,0.6306585669517517,0.6048911543542058,0.29916817198545975,0.300573136192324,0.3313708436475547
epoch,TAV,0.1,scattered,0,0.6306787814003206,0.5921600493577421,0.6288230650736766,0.6082016229629517,0.6318686976398766,0.10229477487121161,0.1041234584420508,0.142458910372204
epoch,TAV,0.1,scattered,1,0.6258685195082844,0.5859126923718573,0.6247834447793308,0.6059458255767822,0.6380414951797163,0.10229477487121161,0.10427956557614683,0.14252581342967374
epoch,TAV,0.2,scattered,0,0.603955104222341,0.5637819782340904,0.6031067493299727,0.6256804466247559,0.6087071549969165,0.20144510604134608,0.20300617738230636,0.23719363974933655
epoch,TAV,0.2,scattered,1,0.6050240513094601,0.5647355219592322,0.6041623273757158,0.6245201826095581,0.6084333222917496,0.20144510604134608,0.20302847840146296,0.2375058540175286
epoch,TAV,0.3,scattered,0,0.6135756280064136,0.569975003584143,0.6092931437286095,0.6257248520851135,0.5931706474086648,0.29916817198545975,0.30068464128810685,0.3303895988046654
epoch,TAV,0.3,scattered,1,0.5932656333511491,0.5508640633986773,0.5902940817253127,0.6402919888496399,0.5834907879647921,0.29916817198545975,0.300573136192324,0.32967596619165496
