setting,phase,epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE
conservative,student,1,1.3143051801658259,0.5383954676982922,0.614841952111826,0.6295841336250305,0.6004190198104274,0.6477448225021363,0.5894194411552388,0.6625713805357615
conservative,student,2,1.0886391552483163,0.5596161777554094,0.6356059735137816,0.5858042240142822,0.6174800874894653,0.6067830204963685,0.6018981825970816,0.6268011033535004
conservative,student,3,1.0169529955561567,0.5574817281918041,0.6288868018927194,0.5740203261375427,0.6148571274544613,0.5975306630134583,0.6027691847151383,0.6158051093419393
conservative,student,4,0.9883969716909455,0.5624127427940557,0.6347651552958793,0.5618909597396851,0.6189179971135379,0.5871227145195007,0.6039113153976109,0.608426441748937
conservative,student,5,0.9703380596346971,0.5611825973792871,0.6346375519730997,0.5585393309593201,0.6156864006581048,0.5843646764755249,0.6021083439542244,0.6046111087004343
conservative,student,6,0.9345871055998454,0.5664104818752751,0.6391959760479915,0.5496504306793213,0.6181611815102468,0.5785721898078918,0.6085899064911602,0.598335067431132
conservative,student,7,0.9105016783970158,0.5650600412505375,0.6372883777149195,0.5503221154212952,0.6207512877375374,0.5773677468299866,0.6040229706265167,0.598455677429835
conservative,student,8,0.8960771072201612,0.5576922029768671,0.6283411244257322,0.5635440349578857,0.6131556332109847,0.5894988179206848,0.6029520421008564,0.6083274483680725
conservative,student,9,0.8754101328733491,0.5617133677571672,0.6323255443187352,0.5571340918540955,0.6159190750569923,0.5817314147949219,0.6058620333637438,0.6004625459512075
conservative,student,10,0.8709830731880374,0.5632188428666736,0.6329757310090262,0.5523087978363037,0.6181757818583378,0.5771761059761047,0.6064994966633808,0.5988799333572388
conservative,student,11,0.8486743918279323,0.5593239057299234,0.6342895653841184,0.5547187924385071,0.6110557922759215,0.5823960661888122,0.6003805639102243,0.6054064532121023
