epoch,training_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE
1,1.369039151403639,0.47502769711434495,0.5513348686666966,0.6389747858047485,0.5412817299667121,0.648970103263855,0.5224427126521393,0.6531829535961151
2,1.1093910601403978,0.533790171669712,0.6095421347425175,0.5992915630340576,0.5903777671754336,0.6123594284057617,0.5795607024549091,0.6221925914287567
3,0.9868438210752275,0.5411725333596762,0.6193339363459845,0.5792365074157715,0.5957937585209891,0.596549141407013,0.5802118292475179,0.6098927656809489
4,0.9220249145119278,0.5408787805788251,0.6179491972125387,0.5783839225769043,0.6016823857226382,0.5928921103477478,0.5749680228081951,0.6124633550643921
5,0.867475665277905,0.5256275816707813,0.6042702763379669,0.5960645079612732,0.584169032420154,0.60773104429245,0.565048240149112,0.6257066329320272
6,0.8161474135186937,0.5268626564508175,0.6088465148446376,0.5905358791351318,0.5812873449111331,0.6043277144432068,0.5646493838943459,0.6235233843326569
7,0.7617203295230865,0.5217820154273325,0.6065369358029259,0.6073387861251831,0.5801944114156549,0.6248837828636169,0.5572601897454599,0.6343024770418803
8,0.724077859962428,0.5274976782215672,0.6186951924540885,0.6264133453369141,0.5881315742880427,0.6471795916557312,0.560710314067412,0.6720347901185354
9,0.6801411073516916,0.5073844296411654,0.5881314283039107,0.6285602450370789,0.5687852871304164,0.6389616131782532,0.5517396542562324,0.6571455299854279
10,0.6255371620257696,0.5123038996596716,0.5894681801042078,0.6185247302055359,0.5765957642574894,0.6316264033317566,0.5554773544567156,0.6471842229366302
