stage,epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE
student,1,1.1016831356100738,0.5525102783171645,0.6253134329272682,0.5541406869888306,0.603150908064167,0.5734394907951355,0.5942000558419362,0.5817190607388815
student,2,0.9673767192289233,0.5557830816816034,0.6213686331838265,0.5433948040008545,0.6111725239094431,0.561492383480072,0.5987987442075821,0.5725062787532806
student,3,0.9355705126654357,0.5626582763894777,0.6300787966559309,0.5371578335762024,0.6162702529898698,0.5582230091094971,0.6037502100331801,0.5715459187825521
student,4,0.901285053929314,0.5628739263399123,0.6305285852859462,0.5424532294273376,0.6176042572940548,0.5596841692924499,0.6035707251277607,0.5733782748381296
student,5,0.8682117939461023,0.5542832216304124,0.6199510839915133,0.5498054623603821,0.6096941267579663,0.5676413178443909,0.5993155129115704,0.5792881945768992
student,6,0.8575268459971994,0.5533893545720551,0.621988546757999,0.5469209551811218,0.6100355942203266,0.5649301767349243,0.5928090140789953,0.5811567703882853
student,7,0.8292954254429787,0.5423945871061546,0.6080486699827757,0.5732787847518921,0.6049455377987594,0.5838708400726318,0.5868903665581323,0.5976125200589498
student,8,0.8035286634694785,0.5537622219370388,0.6250336473071004,0.5655632019042969,0.6117528548381013,0.5790140390396118,0.5935828386845947,0.5952998598416647
student,9,0.7680372875183821,0.5435875090990856,0.610184374410724,0.5815319418907166,0.6033542821348029,0.5869467973709106,0.5915013554814915,0.6024416784445444
student,10,0.7495937461499125,0.539690007611621,0.6118711915234297,0.574088990688324,0.5973668188652039,0.5861242055892945,0.5807185311307728,0.5978929400444031
student,11,0.7253800259204581,0.5400218271195224,0.6078256350377885,0.5627728700637817,0.5999456639694565,0.576219093799591,0.5812323835986319,0.5888117849826813
