stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
best,none,0.0,random,0,0.6504543025120256,0.6318764478880396,0.6586878843623577,0.5519307255744934,0.6910359784614416,0.0,0.0020962958007180927,0.04504805869628242
best,T,0.3,random,0,0.5938001068947087,0.5745491483877423,0.6047046275569051,0.6012390851974487,0.6229292750534539,0.29916817198545975,0.0020962958007180927,0.04504805869628242
best,A,0.3,random,0,0.6370924639230358,0.6218820273840612,0.6468131862666302,0.5577894449234009,0.6871348304375972,0.0,0.300573136192324,0.04504805869628242
best,V,0.3,random,0,0.6515232495991449,0.6281392235862931,0.6577176386085725,0.549721360206604,0.6932116609007816,0.0,0.0020962958007180927,0.3313708436475547
best,AV,0.3,random,0,0.6509887760555852,0.6305547495170694,0.6580172549703097,0.5521502494812012,0.6924332263895715,0.0,0.300573136192324,0.3313708436475547
best,TAV,0.3,random,0,0.6007482629609834,0.5766678805076375,0.6079654325029094,0.6011010408401489,0.6281497804100186,0.29916817198545975,0.300573136192324,0.3313708436475547
best,TAV,0.1,scattered,0,0.6296098343132015,0.6090536872224575,0.6374969278216432,0.5682557821273804,0.6757906110859613,0.10229477487121161,0.1041234584420508,0.142458910372204
best,TAV,0.1,scattered,1,0.6151790486370925,0.5980738855041068,0.6252314418020394,0.5746152997016907,0.6618115215415865,0.10229477487121161,0.10427956557614683,0.14252581342967374
best,TAV,0.2,scattered,0,0.6055585248530198,0.5844947133319733,0.6140598557439979,0.5849475264549255,0.6516317934644151,0.20144510604134608,0.20300617738230636,0.23719363974933655
best,TAV,0.2,scattered,1,0.6151790486370925,0.5923948114591141,0.6222588494930479,0.5858489274978638,0.6348010181177421,0.20144510604134608,0.20302847840146296,0.2375058540175286
best,TAV,0.3,scattered,0,0.603955104222341,0.580667918209363,0.6120940455922957,0.6061184406280518,0.6155358481476035,0.29916817198545975,0.30068464128810685,0.3303895988046654
best,TAV,0.3,scattered,1,0.5943345804382683,0.5724223572179125,0.6010854735564731,0.6086665987968445,0.610415146585271,0.29916817198545975,0.300573136192324,0.32967596619165496
