epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE,clean_Accuracy,contiguous_30pct_mean_Accuracy,scattered_TAV_mean_Accuracy,best_checkpoint
1,1.1726378400344402,0.5384873549155114,0.6102479341043898,0.5630828142166138,0.5931550507735114,0.5809801101684571,0.580397073742052,0.590824673573176,0.6365579903794762,0.6176376269374666,0.6042223409941208,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
2,0.9903874055016786,0.5448471879160867,0.6140737926101543,0.5597883462905884,0.6003138797508938,0.5781623959541321,0.5886241294390436,0.5909108718236288,0.6632816675574559,0.6484233030464992,0.6356672011402101,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
3,0.9170001125894487,0.5478466515920174,0.6130201889687509,0.5547439455986023,0.6060864161555122,0.5699889540672303,0.5921199933703987,0.5844640135765076,0.6429716729021914,0.6360235168359166,0.6218599679315874,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
4,0.8811554731801152,0.5546220305825241,0.6318764478880396,0.5519307255744934,0.6063586058765607,0.5724002361297608,0.5895178954908212,0.5880754292011261,0.6504543025120256,0.6268305718866917,0.6106360235168359,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
5,0.8484560525976121,0.5465398855745005,0.6240938685632468,0.5645291209220886,0.5988287388332174,0.5835872888565063,0.5844117847105771,0.5993678470452627,0.65793693212186,0.6388027792624266,0.6249777302690183,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
6,0.7994028076063842,0.5435614606635544,0.6155627322436094,0.5715784430503845,0.601848106746341,0.5854346990585327,0.5837511872937579,0.5972413917382559,0.6290753607696419,0.6149652592196686,0.5964724746125066,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
7,0.742448432254605,0.5425741169441628,0.6148182676881634,0.5786519646644592,0.6030436884328546,0.5958787679672242,0.5838361359435348,0.6131565272808075,0.640833778727953,0.6349545697487975,0.6181186531266701,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
8,0.7061472905334085,0.5341365647026524,0.6075315432107573,0.5798996686935425,0.5946305869958557,0.5945597767829895,0.5740910923757977,0.6153258780638377,0.6333511491181186,0.6225547835382148,0.603064314983075,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
9,0.6630569295957685,0.5317981192015225,0.6054983223734363,0.5699325203895569,0.586905292093922,0.588501513004303,0.5740490109320749,0.6078384816646576,0.6301443078567611,0.6122928915018706,0.5998574737217175,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
10,0.6407773323589936,0.528028755202591,0.6023322814123327,0.5819670557975769,0.5869281177845787,0.5966359972953796,0.5693775429468154,0.6206031143665314,0.6360235168359166,0.6214858364510956,0.6032424728309281,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_轻度类别组平衡/问题2_跨模态交互完整优化_best.pt
