epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE,clean_Accuracy,contiguous_30pct_mean_Accuracy,scattered_TAV_mean_Accuracy,best_checkpoint
1,1.2083682212978601,0.5565314911973178,0.6321165634381035,0.5743822455406189,0.6116145530317667,0.5985047459602356,0.5977757041336635,0.6067259709040324,0.6729021913415286,0.6561197220737573,0.6426153572064849,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
2,1.0101459473371506,0.5570015819111455,0.6247970703616206,0.5427778363227844,0.6102955692305748,0.5609252333641053,0.5992619637982143,0.5748545229434967,0.6456440406199893,0.6333511491181186,0.622394441475147,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
3,0.9603267216589302,0.560696274222213,0.635750308554226,0.5608712434768677,0.6155545824867973,0.582890248298645,0.5984434822197153,0.5960570474465688,0.6686264029930519,0.651416354890433,0.6352218065205771,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
4,0.917563036782667,0.5634073484774559,0.6347611776714693,0.5329294204711914,0.6156490175890537,0.552187442779541,0.5996018265538007,0.5729858577251434,0.6606092998396579,0.6444681988241582,0.6309460181721005,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
5,0.8950340752489865,0.5472667604517353,0.6183592240041426,0.5511861443519592,0.602474966210461,0.5653956413269043,0.5854312696503371,0.5813161631425222,0.6338856226616782,0.6200962052378407,0.6011936575806164,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
6,0.8478834636043757,0.5550578322574581,0.6273886081769372,0.5423590540885925,0.6104923343630089,0.5576232194900512,0.5889162350018579,0.5765707691510519,0.6600748262960984,0.6444681988241582,0.6264920719757706,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
7,0.8125246790004894,0.548935234851325,0.6204223864185715,0.5492984056472778,0.6031220244994115,0.5664709091186524,0.5877921044874781,0.5847298304239908,0.6595403527525387,0.6420096205237841,0.6294316764653484,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
8,0.7638033290859312,0.5452141259942526,0.6206745952499128,0.5659286975860596,0.5988937069987544,0.5773912191390991,0.5834723341387513,0.5935546656449636,0.6600748262960984,0.6420096205237841,0.6302333867806876,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
9,0.7380690772552043,0.5432028078653895,0.6176364646809526,0.5546436309814453,0.5974241339306576,0.5705747246742249,0.5795694030965136,0.5882284045219421,0.6386958845537146,0.6208444681988242,0.6043114199180474,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
10,0.7064703450305387,0.5335790102016145,0.6057801022689865,0.5642028450965881,0.5894541599207332,0.5788464903831482,0.5737890455294713,0.5924161275227865,0.6386958845537146,0.6234099412079102,0.6109032602886157,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互类别重权重/问题2_跨模态交互完整优化_best.pt
