epoch,train_loss,selection_score,clean_F1,clean_MAE,contiguous_30pct_mean_F1,contiguous_30pct_mean_MAE,scattered_TAV_mean_F1,scattered_TAV_mean_MAE,best_checkpoint
1,1.2306633535772562,0.5401190082308014,0.6062486250592083,0.5650397539138794,0.5985769840866387,0.5824406981468201,0.5862756191631877,0.5920470555623373,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
2,1.0181423393078148,0.5484835952461851,0.6221658788954999,0.5511501431465149,0.6031563750903891,0.5744672894477845,0.5857186302895184,0.5921744505564371,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
3,0.9602652101311833,0.5538980501166703,0.6231331045582921,0.5623481273651123,0.6079549780220699,0.5812618255615234,0.5996736919185969,0.5904004275798798,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
4,0.9332129640970379,0.5481653298893069,0.6152476261364007,0.5502470135688782,0.6022981214536642,0.5672149777412414,0.5926561650408095,0.5797892212867737,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
5,0.9005946973338723,0.5514291127213446,0.6166134341417638,0.5360443592071533,0.6064863808271305,0.5572624325752258,0.593945230229016,0.5728698968887329,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
6,0.8817834546789527,0.5536364574693446,0.6200624245020169,0.5434723496437073,0.6107687919494577,0.5617608308792115,0.5941063970561553,0.575311670700709,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
7,0.8398725653532892,0.5597460861132446,0.6265137581881178,0.5361403226852417,0.6150205152380069,0.5530733585357666,0.5990408659110814,0.568000594774882,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
8,0.8149399899411947,0.5527194186606361,0.6201249684768273,0.5561714768409729,0.6119694401590638,0.5705999374389649,0.5934510129944576,0.5863949159781138,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
9,0.7900896512437612,0.5311981107608675,0.6031806958987507,0.578370988368988,0.5891530116021373,0.5956938982009887,0.5750581463908492,0.6110619505246481,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
10,0.7637682291679084,0.5457862587292077,0.6146144916179274,0.5472027063369751,0.6017397086204644,0.5625381469726562,0.5852210093139334,0.5794500211874644,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
11,0.733555072103627,0.543915727213405,0.6131342323320963,0.5566501021385193,0.6012678474315296,0.5728504180908203,0.5847847275059069,0.5900740524133047,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
12,0.7059282356058247,0.5343395851869271,0.6041863625271181,0.5669968128204346,0.5924338224625767,0.5804603338241577,0.5762410770127534,0.594791571299235,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
13,0.6822113065281883,0.5287874039962447,0.5940043356027044,0.5855993032455444,0.5948194063808956,0.5962382674217224,0.5746380517947308,0.6113482515017191,/root/user/cs_tcci_fengzihuan/数模比赛题/outputs/question2/问题2_跨模态交互精调96/问题2_跨模态交互完整优化_best.pt
