epoch,train_loss,Accuracy,Macro_F1,Weighted_F1,MAE,selection_score,encoder_lr,head_lr
1,0.9296970005837906,0.6787814003206841,0.6252088522932321,0.6649593226584127,0.5489416718482971,0.5977617687008172,6e-06,8e-05
2,0.8322436891189994,0.6916087653661144,0.6373724482363733,0.6773143915151405,0.5260811448097229,0.6110683909958872,6e-06,8e-05
3,0.8024701073678272,0.6873329770176376,0.6432086967873504,0.6805703046812209,0.530064582824707,0.616705467646115,6e-06,8e-05
4,0.7733284514360932,0.6916087653661144,0.6520516296990524,0.6866254269819142,0.511275053024292,0.6264878770478378,6e-06,8e-05
5,0.7527025220678744,0.6841261357562801,0.6492553457240056,0.6825546957730743,0.5091625452041626,0.6237972184637974,6e-06,8e-05
6,0.7285736323336099,0.6900053447354356,0.6522658277151535,0.6866372653104873,0.5175866484642029,0.6263864952919433,6e-06,8e-05
7,0.7026063209060587,0.6702298236237306,0.6411073807126156,0.6754923677305872,0.5171585083007812,0.6152494552975766,6e-06,8e-05
8,0.6695762521016855,0.686798503474078,0.6404997210659488,0.6795704131603673,0.5246594548225403,0.6142667483248218,3e-06,4e-05
9,0.6498324522300243,0.6798503474078034,0.6445860634394857,0.6792362199277482,0.5240331888198853,0.6183844039984914,3e-06,4e-05
10,0.6370377348127197,0.6702298236237306,0.6371428440746821,0.6712354850141286,0.5223097205162048,0.6110273580488719,3e-06,4e-05
11,0.6178511409726861,0.6782469267771245,0.6404536740339694,0.6754834912471,0.5355818271636963,0.6136745826757846,1.5e-06,2e-05
12,0.6078606216408269,0.6793158738642437,0.6399685404248147,0.6756910699858691,0.5328452587127686,0.6133262774891762,1.5e-06,2e-05
13,0.5905788479019285,0.672367717797969,0.6381774143050228,0.672242062656523,0.5293799042701721,0.6117084190915142,1.5e-06,2e-05
14,0.5871519830128918,0.675040085515767,0.6365684798466528,0.671865188755699,0.532413899898529,0.6099477848517263,7.5e-07,1e-05
