sample_id,modality,rate,units,intervention,probability_drop,margin_drop,intensity_change
101787$_$9,text,0.1,2,top,0.09200863127839903,0.4777067497162524,0.054090239107608795
101787$_$9,text,0.1,2,bottom,-0.0493382473139552,-0.3668425941352035,-0.039472028613090515
101787$_$9,text,0.1,2,random,0.004175324111654666,0.005023217890390619,-0.003665536642074585
101787$_$9,text,0.1,2,random,0.012105719839867635,0.06509540222507249,0.012604355812072754
101787$_$9,text,0.1,2,random,-0.016231646269527666,-0.1582143513409361,-0.02892644703388214
101787$_$9,text,0.1,2,random,0.008021315194777334,0.03815551197778755,0.004314258694648743
101787$_$9,text,0.1,2,random,-0.0493382473139552,-0.3668425941352035,-0.039472028613090515
101787$_$9,text,0.1,2,random,0.019861387973587996,0.04657499240431384,-0.01681278645992279
101787$_$9,text,0.1,2,random,-0.018880234932559747,-0.14598186191748208,-0.01939558982849121
101787$_$9,text,0.1,2,random,0.014834718917748013,0.004296622312942144,-0.024130895733833313
101787$_$9,text,0.1,2,random,0.021123239021672402,0.05262842712705851,-0.019838660955429077
101787$_$9,text,0.1,2,random,-0.03746764592712182,-0.2548865327260771,-0.02626653015613556
101787$_$9,text,0.1,2,random,-0.0006919450072945255,-0.0010834213671121473,0.00589396059513092
101787$_$9,text,0.1,2,random,-0.04077944049982596,-0.358218758892071,-0.05458912253379822
101787$_$9,text,0.1,2,random,-0.035806586204168545,-0.22542880088160744,-0.020070195198059082
101787$_$9,text,0.1,2,random,-0.011801533391273322,-0.11573226729044184,-0.024512991309165955
101787$_$9,text,0.1,2,random,-0.03376633157318709,-0.20791105373963803,-0.016057536005973816
101787$_$9,text,0.1,2,random,-0.03143810166059868,-0.1618251451849747,-0.0005230605602264404
101787$_$9,text,0.1,2,random,-0.057078262234113275,-0.37514402941039726,-0.03017936646938324
101787$_$9,text,0.1,2,random,0.025651052961758625,0.11355482839004694,0.0026648789644241333
101787$_$9,text,0.1,2,random,-0.005854547744193028,-0.10403296287909947,-0.03153310716152191
101787$_$9,text,0.1,2,random,0.000743007194007772,-0.07086627672592605,-0.02922937273979187
101787$_$9,text,0.1,2,retain_top,0.04980067295400098,-0.1809107396683035,-0.08789816498756409
101787$_$9,text,0.2,4,top,0.08741658722053375,0.36418624158248636,-0.004568472504615784
101787$_$9,text,0.2,4,bottom,-0.05543988642934461,-0.4779464195059002,-0.05540558695793152
101787$_$9,text,0.2,4,random,-0.001881655569817453,-0.02627686892562342,0.0015158504247665405
101787$_$9,text,0.2,4,random,-0.06518066885474694,-0.5546352464126039,-0.06644783914089203
101787$_$9,text,0.2,4,random,-0.013433485530315203,-0.11846058605582555,-0.0159347802400589
101787$_$9,text,0.2,4,random,-0.06388770019255452,-0.47268454956904016,-0.04908238351345062
101787$_$9,text,0.2,4,random,-0.061689717298938684,-0.4377484996264287,-0.04450567066669464
101787$_$9,text,0.2,4,random,-0.022959257142446066,-0.18878799902015142,-0.024590030312538147
101787$_$9,text,0.2,4,random,-0.036929671483612814,-0.2678287341994734,-0.026391789317131042
101787$_$9,text,0.2,4,random,-0.038608407586590454,-0.3784240315368417,-0.0584229975938797
101787$_$9,text,0.2,4,random,-0.033400209290218585,-0.24237340565655585,-0.028731733560562134
101787$_$9,text,0.2,4,random,0.019291628564316543,0.04218764856986479,-0.009433403611183167
101787$_$9,text,0.2,4,random,0.020570332781401468,0.029987695292038596,-0.023562699556350708
101787$_$9,text,0.2,4,random,-0.0513055162733691,-0.43820380017763183,-0.05719424784183502
101787$_$9,text,0.2,4,random,-0.012893876118884373,-0.13661760555951408,-0.024235054850578308
101787$_$9,text,0.2,4,random,-0.042269943614199,-0.43988213326329717,-0.07345269620418549
101787$_$9,text,0.2,4,random,-0.02340181938920116,-0.18412124556939868,-0.021285176277160645
101787$_$9,text,0.2,4,random,0.00128861027233651,-0.0885514435466832,-0.03435960412025452
101787$_$9,text,0.2,4,random,0.0382921976409219,0.08005231646361011,-0.03908567130565643
101787$_$9,text,0.2,4,random,0.007888972735328403,-0.05691409801661562,-0.029411017894744873
101787$_$9,text,0.2,4,random,-0.05267473261840583,-0.44762307076659313,-0.05294807255268097
101787$_$9,text,0.2,4,random,-0.03235234691485944,-0.3679245267226535,-0.06815686821937561
101787$_$9,text,0.2,4,retain_top,0.014563144373358372,-0.2993022977694815,-0.07805867493152618
101787$_$9,text,0.3,6,top,0.07839232922401435,0.33682948705937965,0.009359657764434814
101787$_$9,text,0.3,6,bottom,-0.05623475933346567,-0.49885777300004164,-0.05576366186141968
101787$_$9,text,0.3,6,random,-0.040678785978903176,-0.4702059716516924,-0.06973843276500702
101787$_$9,text,0.3,6,random,0.12594777275754931,0.5951964602396772,0.05540812015533447
101787$_$9,text,0.3,6,random,-0.03897743768052564,-0.4118976316171028,-0.058754414319992065
101787$_$9,text,0.3,6,random,-0.050856458994416154,-0.4433596541953204,-0.05453720688819885
101787$_$9,text,0.3,6,random,-0.05305693169200287,-0.4840165293016372,-0.05998103320598602
101787$_$9,text,0.3,6,random,-0.03327233091370152,-0.23897719738377277,-0.02534392476081848
101787$_$9,text,0.3,6,random,-0.011993355664721927,-0.29380055427677887,-0.06497330963611603
101787$_$9,text,0.3,6,random,0.09170090484855514,0.287996568232199,-0.048575639724731445
101787$_$9,text,0.3,6,random,0.029095434328947622,0.006582551932722724,-0.04497300088405609
101787$_$9,text,0.3,6,random,-0.04906968170169568,-0.4192153298334165,-0.05609460175037384
101787$_$9,text,0.3,6,random,-0.03416384756932844,-0.4078546241642713,-0.07415139675140381
101787$_$9,text,0.3,6,random,-0.006599755735956725,-0.1791106974600143,-0.05715455114841461
101787$_$9,text,0.3,6,random,-0.029882871202686845,-0.311041601571422,-0.0492958128452301
101787$_$9,text,0.3,6,random,-0.013778792975314147,-0.274702047295049,-0.06573934853076935
101787$_$9,text,0.3,6,random,-0.028873732468978175,-0.3670539244668999,-0.07216615974903107
101787$_$9,text,0.3,6,random,-0.025638254332067123,-0.2799029835716039,-0.05047544836997986
101787$_$9,text,0.3,6,random,-0.020648477662447706,-0.3856361080828865,-0.08586542308330536
101787$_$9,text,0.3,6,random,0.026387428124401757,0.024064895362542416,-0.02424408495426178
101787$_$9,text,0.3,6,random,-0.03281612104421294,-0.311154906206793,-0.05153724551200867
101787$_$9,text,0.3,6,random,-0.011383707121468634,-0.4600181746224461,-0.1175769716501236
101787$_$9,text,0.3,6,retain_top,-0.004642188464544006,-0.3729355872867104,-0.08020827174186707
101787$_$9,audio,0.1,2,top,0.011993766470785205,0.07969074239414797,0.013819649815559387
101787$_$9,audio,0.1,2,bottom,-0.0005750022583629333,0.008743608254173862,0.0013307929039001465
101787$_$9,audio,0.1,2,random,0.0021376226579288282,0.01966903024986999,0.00011695921421051025
101787$_$9,audio,0.1,2,random,0.003567467767303989,0.036638436257592444,0.007364138960838318
101787$_$9,audio,0.1,2,random,0.006626969220971057,0.042104547202113984,0.004773825407028198
101787$_$9,audio,0.1,2,random,0.0019821936346877678,0.022462133629606917,0.00430278480052948
101787$_$9,audio,0.1,2,random,0.004361050746209072,0.044401305963840954,0.009932592511177063
101787$_$9,audio,0.1,2,random,0.0021278667951736274,0.02598835672150268,0.005811452865600586
101787$_$9,audio,0.1,2,random,0.0032939084986551848,0.027748582644880004,0.0023816078901290894
101787$_$9,audio,0.1,2,random,0.0035232423296267523,0.029430061501843796,0.003039240837097168
101787$_$9,audio,0.1,2,random,0.004194461793313398,0.03926484011173692,0.008031517267227173
101787$_$9,audio,0.1,2,random,0.004467684650758974,0.03351388304019587,0.005257502198219299
101787$_$9,audio,0.1,2,random,0.006958768947853078,0.05544773020659499,0.012722775340080261
101787$_$9,audio,0.1,2,random,0.009653625623509243,0.06726660602785028,0.01089833676815033
101787$_$9,audio,0.1,2,random,0.001995062408961412,0.025021037678467417,0.0027483701705932617
101787$_$9,audio,0.1,2,random,0.0033133279649494307,0.02894985963452379,0.0041932761669158936
101787$_$9,audio,0.1,2,random,0.0006809634771737239,0.02187694834682785,0.0035461783409118652
101787$_$9,audio,0.1,2,random,0.003138901437118813,0.02454017025163735,0.0003887563943862915
101787$_$9,audio,0.1,2,random,0.007661454292029801,0.04963871546672782,0.006254658102989197
101787$_$9,audio,0.1,2,random,0.0067592083241515555,0.04941196548825855,0.007940076291561127
101787$_$9,audio,0.1,2,random,0.005045769230115349,0.031140147453813993,0.0010539442300796509
101787$_$9,audio,0.1,2,random,0.004306989648030668,0.029629323357795112,0.0019431114196777344
101787$_$9,audio,0.1,2,retain_top,0.047594394762744074,0.3261348063494005,0.080376286059618
101787$_$9,audio,0.2,4,top,0.02065454549325174,0.1422902226437831,0.029132142663002014
101787$_$9,audio,0.2,4,bottom,-0.00029539680741896834,0.022029049724208494,0.0013536065816879272
101787$_$9,audio,0.2,4,random,0.008444761470282391,0.06801212266224688,0.010399028658866882
101787$_$9,audio,0.2,4,random,0.014327023403146288,0.10550809498580882,0.017117515206336975
101787$_$9,audio,0.2,4,random,0.013118717374497213,0.09091345594837841,0.013122424483299255
101787$_$9,audio,0.2,4,random,0.017110091108001213,0.11561763219571097,0.018941320478916168
101787$_$9,audio,0.2,4,random,0.011182337387312002,0.08256263182733337,0.011615395545959473
101787$_$9,audio,0.2,4,random,0.01515639059042112,0.10190584229762689,0.015221156179904938
101787$_$9,audio,0.2,4,random,0.006961919382077353,0.06807041415196169,0.012077763676643372
101787$_$9,audio,0.2,4,random,0.011563779620512915,0.07836353039311006,0.008379124104976654
101787$_$9,audio,0.2,4,random,0.0048874932014607575,0.05315048710639414,0.00824737548828125
101787$_$9,audio,0.2,4,random,0.007654766191331652,0.07152932382714439,0.012585476040840149
101787$_$9,audio,0.2,4,random,0.011299060483491385,0.08965391133687761,0.016943566501140594
101787$_$9,audio,0.2,4,random,0.012982730303365608,0.08686197595923573,0.011976644396781921
101787$_$9,audio,0.2,4,random,0.014061523433655077,0.11015094688208549,0.021338358521461487
101787$_$9,audio,0.2,4,random,0.005453019315926011,0.05099235692183279,0.00555633008480072
101787$_$9,audio,0.2,4,random,0.008638756330708763,0.06238805720881324,0.003777444362640381
101787$_$9,audio,0.2,4,random,0.010774269411379378,0.08452615540893615,0.014626488089561462
101787$_$9,audio,0.2,4,random,0.003408150021973033,0.046224014589943074,0.008256852626800537
101787$_$9,audio,0.2,4,random,0.008825302621300324,0.06628025943171567,0.009471997618675232
101787$_$9,audio,0.2,4,random,0.010058377230280025,0.07045365152210092,0.0070289671421051025
101787$_$9,audio,0.2,4,random,0.007116328225696855,0.06584236605650529,0.012694768607616425
101787$_$9,audio,0.2,4,retain_top,0.034087367709896566,0.24704951165892697,0.0536980926990509
101787$_$9,audio,0.3,6,top,0.030334689080797672,0.19975307800760833,0.03988681733608246
101787$_$9,audio,0.3,6,bottom,0.0006966070544922598,0.04045904776035891,0.0037479251623153687
101787$_$9,audio,0.3,6,random,0.009727640599924925,0.09566981819108822,0.020425304770469666
101787$_$9,audio,0.3,6,random,0.01682391999179378,0.12574637006605538,0.023883789777755737
101787$_$9,audio,0.3,6,random,0.012294815343421028,0.09414730714654629,0.010860905051231384
101787$_$9,audio,0.3,6,random,0.009525490279315041,0.08346073101289386,0.011432178318500519
101787$_$9,audio,0.3,6,random,0.015383628256285753,0.1250520033107263,0.02630261331796646
101787$_$9,audio,0.3,6,random,0.012680822858162188,0.10585665002253108,0.016939133405685425
101787$_$9,audio,0.3,6,random,0.010084351391936641,0.08757168592236042,0.01378825306892395
101787$_$9,audio,0.3,6,random,0.012180480064182486,0.09979859262331081,0.016120776534080505
101787$_$9,audio,0.3,6,random,0.011476052679949111,0.10003858076058258,0.018421374261379242
101787$_$9,audio,0.3,6,random,0.010108294943741103,0.08436333797784723,0.010914228856563568
101787$_$9,audio,0.3,6,random,0.011515217643180864,0.08825676571957919,0.009058311581611633
101787$_$9,audio,0.3,6,random,0.016109705586425882,0.11256941424685862,0.019163325428962708
101787$_$9,audio,0.3,6,random,0.015489174027355224,0.11932815990304035,0.020711645483970642
101787$_$9,audio,0.3,6,random,0.02018294270081178,0.15025398220841502,0.0274735689163208
101787$_$9,audio,0.3,6,random,0.020772553531253124,0.14321130584682873,0.021669775247573853
101787$_$9,audio,0.3,6,random,0.014357997013769386,0.11027813344562853,0.0177052840590477
101787$_$9,audio,0.3,6,random,0.01764201809528748,0.12803165432369656,0.019329503178596497
101787$_$9,audio,0.3,6,random,0.022846309868994497,0.15955175415888523,0.030232153832912445
101787$_$9,audio,0.3,6,random,0.017104405484757,0.1203411961022236,0.01740296185016632
101787$_$9,audio,0.3,6,random,0.01667831545145637,0.13957686732562502,0.02991272509098053
101787$_$9,audio,0.3,6,retain_top,0.022539218035714514,0.18409997926016242,0.036425381898880005
101787$_$9,vision,0.1,2,top,-0.003697058957725319,-0.017718648147487248,-0.00010071694850921631
101787$_$9,vision,0.1,2,bottom,-0.017749273865913184,-0.10178083768571677,-0.010054171085357666
101787$_$9,vision,0.1,2,random,-0.008877228711273055,-0.05139959947782957,-0.004478529095649719
101787$_$9,vision,0.1,2,random,-0.015844557264651504,-0.08853227463585145,-0.007864460349082947
101787$_$9,vision,0.1,2,random,-0.012158572324706629,-0.06994861800475993,-0.007060915231704712
101787$_$9,vision,0.1,2,random,-0.010437293949054016,-0.052712450826655544,-0.002779349684715271
101787$_$9,vision,0.1,2,random,-0.007726319762042522,-0.03963216810293535,-0.003321632742881775
101787$_$9,vision,0.1,2,random,-0.009893157939277142,-0.052900941174094274,-0.004536136984825134
101787$_$9,vision,0.1,2,random,-0.010792856319659094,-0.053227911059498756,-0.003353908658027649
101787$_$9,vision,0.1,2,random,-0.01170218314939031,-0.06466746065611662,-0.005879208445549011
101787$_$9,vision,0.1,2,random,-0.007001199575335293,-0.034066929466202045,-0.00042495131492614746
101787$_$9,vision,0.1,2,random,-0.00790505740510472,-0.03872533377355547,-0.0020687878131866455
101787$_$9,vision,0.1,2,random,-0.009271698385925675,-0.05275500264913813,-0.004493340849876404
101787$_$9,vision,0.1,2,random,-0.010042550357731939,-0.05121175591963867,-0.0031674355268478394
101787$_$9,vision,0.1,2,random,-0.005640710953041195,-0.029371396458216514,-0.0013408809900283813
101787$_$9,vision,0.1,2,random,-0.006200977297047161,-0.031371119277416426,-0.0013967901468276978
101787$_$9,vision,0.1,2,random,-0.010223564272703767,-0.053856128934206215,-0.004636660218238831
101787$_$9,vision,0.1,2,random,-0.011875204667503025,-0.06702646765397524,-0.005689024925231934
101787$_$9,vision,0.1,2,random,-0.00964615632053678,-0.05583068832933513,-0.004778340458869934
101787$_$9,vision,0.1,2,random,-0.009740085494598927,-0.05268010718375771,-0.004670619964599609
101787$_$9,vision,0.1,2,random,-0.009809569923269312,-0.04985551091891938,-0.005076929926872253
101787$_$9,vision,0.1,2,random,-0.013197023321165346,-0.07768843384140933,-0.008047148585319519
101787$_$9,vision,0.1,2,retain_top,-0.07282107384544978,-0.4523508195777741,-0.018764302134513855
101787$_$9,vision,0.2,4,top,-0.00875832926025355,-0.04437692890119649,-0.0006152093410491943
101787$_$9,vision,0.2,4,bottom,-0.028872855321990687,-0.1688320114908468,-0.016250580549240112
101787$_$9,vision,0.2,4,random,-0.015853838342207105,-0.07720056820989929,-0.004621043801307678
101787$_$9,vision,0.2,4,random,-0.019942743190125012,-0.1071525056990853,-0.008907422423362732
101787$_$9,vision,0.2,4,random,-0.02685951613353732,-0.15683521008057466,-0.014390438795089722
101787$_$9,vision,0.2,4,random,-0.018041823288898806,-0.09096192262062897,-0.005941599607467651
101787$_$9,vision,0.2,4,random,-0.019124126196841562,-0.09665307067836582,-0.005680099129676819
101787$_$9,vision,0.2,4,random,-0.019497514836730123,-0.10661804693577737,-0.009439840912818909
101787$_$9,vision,0.2,4,random,-0.015110554008375465,-0.07808781981701851,-0.0058881789445877075
101787$_$9,vision,0.2,4,random,-0.01651693961127909,-0.08249979306970445,-0.004275843501091003
101787$_$9,vision,0.2,4,random,-0.0238071396655668,-0.13218083128107572,-0.010952278971672058
101787$_$9,vision,0.2,4,random,-0.021344408819395033,-0.11773214001702426,-0.011632874608039856
101787$_$9,vision,0.2,4,random,-0.019940913435803065,-0.10911711863106122,-0.009746819734573364
101787$_$9,vision,0.2,4,random,-0.02281639088343912,-0.13199809245762606,-0.010339021682739258
101787$_$9,vision,0.2,4,random,-0.018341967479865717,-0.09019075398886578,-0.0040410906076431274
101787$_$9,vision,0.2,4,random,-0.02685951613353732,-0.15683521008057466,-0.014390438795089722
101787$_$9,vision,0.2,4,random,-0.026563487734955538,-0.1462569531231177,-0.011771753430366516
101787$_$9,vision,0.2,4,random,-0.021536033151191902,-0.1183037201269499,-0.009465277194976807
101787$_$9,vision,0.2,4,random,-0.02687434759869356,-0.15425410201624667,-0.014348402619361877
101787$_$9,vision,0.2,4,random,-0.02462683663629972,-0.13173744435535362,-0.010118529200553894
101787$_$9,vision,0.2,4,random,-0.02325835472077531,-0.12818459053781395,-0.010228589177131653
101787$_$9,vision,0.2,4,random,-0.012337979793822895,-0.06310689573030404,-0.0031887441873550415
101787$_$9,vision,0.2,4,retain_top,-0.07033337726854005,-0.424322928076329,-0.02003517746925354
101787$_$9,vision,0.3,6,top,-0.016091943444572987,-0.07973832274791348,-0.0009096711874008179
101787$_$9,vision,0.3,6,bottom,-0.03970252175673139,-0.22916224031154608,-0.019162490963935852
101787$_$9,vision,0.3,6,random,-0.0337380979443439,-0.19201037660889853,-0.014589890837669373
101787$_$9,vision,0.3,6,random,-0.028808426638043616,-0.1523385282523052,-0.009239643812179565
101787$_$9,vision,0.3,6,random,-0.026067496827918202,-0.1356419014459357,-0.007475689053535461
101787$_$9,vision,0.3,6,random,-0.029429471695359588,-0.16407854679199685,-0.010215744376182556
101787$_$9,vision,0.3,6,random,-0.023596970547922314,-0.12689053382212057,-0.00947079062461853
101787$_$9,vision,0.3,6,random,-0.027100888502949005,-0.1518383233064382,-0.01279883086681366
101787$_$9,vision,0.3,6,random,-0.031116847517420387,-0.15860565116875525,-0.009203419089317322
101787$_$9,vision,0.3,6,random,-0.03390773585268547,-0.19776630174188303,-0.016698837280273438
101787$_$9,vision,0.3,6,random,-0.03356192729122964,-0.1852907258015427,-0.013339623808860779
101787$_$9,vision,0.3,6,random,-0.024169554004412563,-0.12449196170126309,-0.005811527371406555
101787$_$9,vision,0.3,6,random,-0.03081567362692439,-0.15922267218440345,-0.009967043995857239
101787$_$9,vision,0.3,6,random,-0.03138890196301458,-0.1709159265937269,-0.012631148099899292
101787$_$9,vision,0.3,6,random,-0.023076598548966598,-0.11590116247118853,-0.00462833046913147
101787$_$9,vision,0.3,6,random,-0.028051924666360195,-0.15061113030684736,-0.009184971451759338
101787$_$9,vision,0.3,6,random,-0.027885931734628944,-0.14910612144037472,-0.009794414043426514
101787$_$9,vision,0.3,6,random,-0.0311607972805642,-0.17037768934079423,-0.013307064771652222
101787$_$9,vision,0.3,6,random,-0.0232183370637995,-0.1279935963169644,-0.008761540055274963
101787$_$9,vision,0.3,6,random,-0.03542894911810035,-0.19313166627278178,-0.014196768403053284
101787$_$9,vision,0.3,6,random,-0.03299793797803996,-0.18069755708210844,-0.013897478580474854
101787$_$9,vision,0.3,6,random,-0.02948791357893521,-0.14897213861624659,-0.009035930037498474
101787$_$9,vision,0.3,6,retain_top,-0.0653685311217217,-0.38685316222936006,-0.02116011083126068
128763$_$12,text,0.1,2,top,0.16769152493736128,0.5670477713996992,-0.20344707369804382
128763$_$12,text,0.1,2,bottom,-0.26405419368693106,-1.6075270332393705,1.0183346569538116
128763$_$12,text,0.1,2,random,0.08454685978317655,0.2942317872239629,-0.0844741016626358
128763$_$12,text,0.1,2,random,0.2899279399717698,1.1986540599182303,-0.3948737382888794
128763$_$12,text,0.1,2,random,-0.1535472554959183,-0.7064242774354839,0.3641214072704315
128763$_$12,text,0.1,2,random,-0.005913332626085177,0.015664923113645646,0.009949371218681335
128763$_$12,text,0.1,2,random,-0.17054975651152238,-0.8306819114863606,0.4545855224132538
128763$_$12,text,0.1,2,random,0.1225214879239449,0.4671594925135163,-0.14380324631929398
128763$_$12,text,0.1,2,random,0.2554849470362237,1.0794522375456719,-0.37911930680274963
128763$_$12,text,0.1,2,random,-0.13159771999158076,-0.6634780923023542,0.3225230574607849
128763$_$12,text,0.1,2,random,0.15679978967168995,0.5460218266814297,-0.17792846262454987
128763$_$12,text,0.1,2,random,0.17406744546558306,0.6797283658858072,-0.23158752918243408
128763$_$12,text,0.1,2,random,-0.21838886024391668,-1.2388612882544332,0.683989554643631
128763$_$12,text,0.1,2,random,0.10452301728234847,0.22892294800918278,-0.068744957447052
128763$_$12,text,0.1,2,random,0.25011532875609116,0.9741613168476917,-0.32103005051612854
128763$_$12,text,0.1,2,random,0.11079724002053304,0.6712163259104611,-0.30893348157405853
128763$_$12,text,0.1,2,random,0.1132924941664274,0.4912111048895311,-0.1695975810289383
128763$_$12,text,0.1,2,random,0.2323036556788674,0.7471556849811302,-0.24599090218544006
128763$_$12,text,0.1,2,random,0.05102163210698518,-0.00024039068937575792,0.004598736763000488
128763$_$12,text,0.1,2,random,0.09625174087746469,0.1841246818010296,-0.05062401294708252
